Team,Season,Player,Pos,MP_adv,ORtg,DRtg,BPM,TS%,USG%,AST%,TOV%,ORB%,DRB%,STL%,BLK%
Syracuse,2024,Anthony Clayton,G,4,0.0,118.6,-22.9,0.0,49.6,0.0,0.0,0.0,0.0,0.0,0.0
Syracuse,2024,Benny Williams,F,307,91.1,100.6,2.7,0.452,20.7,12.7,16.4,6.0,20.0,3.1,5.4
Syracuse,2024,Chris Bell,F,865,113.5,110.9,3.3,0.587,20.2,4.5,7.4,0.8,8.9,1.2,2.6
Syracuse,2024,JJ Starling,G,1102,102.8,111.8,0.1,0.533,20.5,10.2,12.1,2.1,8.4,1.4,0.6
Syracuse,2024,Judah Mintz,G,1084,108.0,106.9,4.2,0.543,29.7,25.4,14.5,1.6,9.1,3.4,0.4
Syracuse,2024,Justin Taylor,G,742,90.6,107.1,-0.6,0.45,13.6,6.8,13.3,1.8,17.3,1.7,1.1
Syracuse,2024,Kyle Cuffe Jr.,,312,95.9,108.6,-1.3,0.499,17.2,8.3,14.8,3.7,7.2,2.5,2.0
Syracuse,2024,Maliq Brown,F,948,135.0,100.0,7.4,0.723,13.2,11.2,16.3,9.0,18.2,4.2,3.2
Syracuse,2024,Mounir Hima,C,43,120.3,110.1,-1.0,0.667,4.6,3.6,25.0,5.3,10.4,0.0,7.2
Syracuse,2024,Naheem McLeod,C,204,134.4,103.0,4.9,0.629,11.9,0.8,12.3,16.8,16.4,0.8,13.8
Syracuse,2024,Niko Ruffin,G,4,140.9,107.6,-19.0,0.75,24.8,0.0,0.0,0.0,27.9,0.0,0.0
Syracuse,2024,Peter Carey,C,70,81.4,105.1,-5.7,0.301,10.6,2.3,0.0,4.9,14.3,2.4,3.0
Syracuse,2024,Quadir Copeland,G,716,106.3,102.9,3.3,0.546,23.9,23.0,18.6,6.4,16.8,3.6,0.9
Syracuse,2025,Anthony Clayton,G,2,250.0,121.5,20.4,1.053,23.9,0.0,0.0,0.0,0.0,0.0,0.0
Syracuse,2025,Chance Westry,G,10,27.5,121.0,-12.0,0.0,10.0,15.1,50.0,0.0,0.0,0.0,0.0
Syracuse,2025,Chris Bell,F,710,108.8,114.8,1.4,0.553,22.2,4.0,11.2,1.5,9.3,0.9,2.0
Syracuse,2025,Chris Gatty,G,2,0.0,121.5,-2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Syracuse,2025,Donnie Freeman,F,357,113.4,108.1,4.8,0.591,25.8,11.2,13.6,4.9,31.2,0.8,1.5
Syracuse,2025,Eddie Lampkin Jr.,,988,117.0,110.3,3.9,0.612,19.4,14.0,18.9,13.4,23.8,0.8,1.8
Syracuse,2025,Elijah Moore,G,409,98.8,115.8,-0.4,0.49,19.6,11.4,13.1,2.0,9.1,1.1,0.0
Syracuse,2025,JJ Starling,G,899,100.9,113.9,1.0,0.487,30.0,17.0,11.4,2.5,10.2,1.5,1.0
Syracuse,2025,Jaquan Carlos,G,947,100.7,113.3,-0.3,0.488,14.2,24.1,22.4,1.4,7.7,2.2,0.6
Syracuse,2025,Jyare Davis,F,814,114.2,111.3,3.9,0.578,19.2,10.7,13.8,6.9,16.4,1.5,1.8
Syracuse,2025,Kyle Cuffe Jr.,,368,97.8,113.3,-2.5,0.481,25.1,7.9,13.6,2.8,7.6,2.1,0.6
Syracuse,2025,Lucas Taylor,G,709,113.8,113.9,0.7,0.581,13.8,6.0,12.3,1.8,11.0,1.3,0.8
Syracuse,2025,Naheem McLeod,C,120,141.1,108.9,6.5,0.788,13.5,6.6,15.5,11.6,19.3,0.5,7.3
Syracuse,2025,Nate Fleisher,G,2,0.0,121.5,-23.6,0.0,25.1,0.0,0.0,0.0,0.0,0.0,0.0
Syracuse,2025,Noah Lobdell,G,2,0.0,121.5,-3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Syracuse,2025,Petar Majstorovic,F,411,104.5,110.0,0.1,0.53,12.4,9.1,24.7,11.9,16.1,1.8,2.1
Syracuse,2026,Bryce Zephir,G,100,95.6,111.0,-2.3,0.588,8.6,9.7,29.6,1.2,6.7,1.8,1.0
Syracuse,2026,Calvin Russell III,F,2,81.2,116.7,-25.9,0.432,100.0,0.0,22.3,57.8,0.0,0.0,0.0
Syracuse,2026,Donnie Freeman,F,546,112.0,102.4,5.2,0.587,28.3,10.1,13.8,3.4,22.5,1.8,3.3
Syracuse,2026,Ibrahim Souare,F,213,103.7,103.7,-0.1,0.548,6.7,3.7,31.9,9.8,16.8,1.1,8.4
Syracuse,2026,JJ Starling,G,746,103.0,110.1,1.7,0.489,23.2,15.4,9.7,1.7,8.7,1.9,0.8
Syracuse,2026,Kiyan Anthony,F,501,102.8,113.0,0.3,0.503,25.4,9.5,10.8,2.5,6.3,1.1,1.3
Syracuse,2026,Luke Fennell,G,65,83.6,110.1,-4.3,0.357,13.6,9.8,11.5,0.0,10.3,1.8,0.0
Syracuse,2026,Naithan George,G,841,105.0,108.1,2.3,0.553,20.5,30.7,25.1,2.1,8.6,2.7,1.0
Syracuse,2026,Nate Kingz,G,844,123.1,108.6,5.7,0.596,17.1,7.4,7.4,3.1,10.7,1.9,2.0
Syracuse,2026,Noah Lobdell,G,4,0.0,84.9,-13.0,0.0,25.4,0.0,0.0,0.0,0.0,14.7,0.0
Syracuse,2026,Sadiq White Jr.,,404,105.0,104.3,1.2,0.545,21.3,6.3,15.4,9.2,15.0,2.0,4.9
Syracuse,2026,Tiefing Diawara,C,9,205.2,95.6,10.6,1.0,5.6,0.0,0.0,12.8,24.9,0.0,23.3
Syracuse,2026,Tyler Betsey,F,463,117.1,109.7,3.0,0.553,18.8,3.5,7.0,6.0,12.3,1.1,1.1
Syracuse,2026,William Kyle III,,761,124.7,100.3,7.7,0.621,15.1,6.2,13.2,11.8,18.4,2.2,9.9
Duke,2024,Caleb Foster,G,685,112.7,104.6,2.7,0.545,16.4,14.3,13.3,1.8,9.2,1.4,0.3
Duke,2024,Christian Reeves,C,16,86.1,96.0,-3.8,0.633,19.1,0.0,33.6,7.6,28.5,0.0,6.7
Duke,2024,Jared McCain,G,1137,124.0,101.2,8.5,0.611,21.1,11.0,10.1,3.1,15.2,2.0,0.2
Duke,2024,Jaylen Blakes,G,285,115.0,97.3,5.0,0.537,11.0,7.2,13.1,3.0,7.6,4.4,1.9
Duke,2024,Jeremy Roach,G,1144,124.4,104.0,7.2,0.592,20.7,18.0,10.6,2.2,6.7,2.0,0.5
Duke,2024,Kyle Filipowski,C,1095,117.3,94.5,11.1,0.573,27.7,18.4,12.9,8.8,22.7,2.2,5.3
Duke,2024,Mark Mitchell,F,945,122.0,100.6,6.7,0.583,19.9,6.9,10.4,9.5,14.8,1.6,2.7
Duke,2024,Neal Begovich,F,17,68.0,104.3,-9.9,0.202,14.9,0.0,0.0,7.1,20.1,0.0,0.0
Duke,2024,Ryan Young,G,424,115.7,97.7,4.7,0.598,13.6,11.7,25.7,14.2,19.9,1.4,4.3
Duke,2024,Sean Stewart,F,275,121.4,89.3,5.5,0.57,16.7,4.5,14.6,19.3,25.3,3.7,6.2
Duke,2024,Spencer Hubbard,G,22,94.5,103.9,-11.8,0.432,18.5,15.0,12.6,0.0,15.5,0.0,0.0
Duke,2024,TJ Power,F,181,111.2,103.3,2.2,0.506,16.5,4.6,6.9,3.3,8.8,1.6,1.8
Duke,2024,Tyrese Proctor,G,974,116.7,104.2,5.4,0.545,18.3,21.1,11.5,0.5,10.8,1.3,0.3
Duke,2025,Caleb Foster,G,532,106.9,97.6,4.6,0.506,21.1,17.1,14.8,3.6,9.9,2.6,0.6
Duke,2025,Cameron Sheffield,G,30,96.9,105.5,-1.1,0.316,15.4,9.7,11.2,12.8,7.1,0.0,0.0
Duke,2025,Cooper Flagg,F,1135,126.3,89.5,16.3,0.593,30.9,26.8,11.5,5.5,21.2,2.8,4.9
Duke,2025,Darren Harris,G,128,113.3,99.2,2.2,0.442,20.1,9.0,2.0,8.0,13.2,1.4,0.0
Duke,2025,Isaiah Evans,G,495,125.4,102.6,7.2,0.621,22.4,6.4,7.5,1.0,7.9,0.8,0.7
Duke,2025,Khaman Maluach,C,828,147.3,94.3,9.9,0.736,16.1,4.3,11.6,16.5,19.2,0.6,6.8
Duke,2025,Kon Knueppel,G,1189,133.7,98.8,10.8,0.642,21.4,15.7,10.8,4.3,10.3,2.0,0.6
Duke,2025,Maliq Brown,F,410,123.9,89.3,11.5,0.658,9.2,14.8,33.1,12.5,14.2,4.8,2.4
Duke,2025,Mason Gillis,F,545,126.4,97.4,6.8,0.576,14.0,8.7,10.2,5.9,13.8,2.0,0.0
Duke,2025,Neal Begovich,F,26,133.0,77.0,13.9,0.7,12.0,12.6,16.7,4.9,32.5,6.9,0.0
Duke,2025,Patrick Ngongba,C,316,156.1,92.4,11.3,0.728,14.2,12.6,8.1,12.1,16.7,2.1,5.6
Duke,2025,Sion James,G,996,131.1,96.8,9.3,0.635,16.2,18.9,15.1,3.7,14.2,1.9,1.1
Duke,2025,Spencer Hubbard,G,25,115.7,95.7,8.2,0.591,27.0,22.9,15.4,5.1,4.2,4.8,0.0
Duke,2025,Stanley Borden,C,7,0.0,92.4,-16.4,0.0,22.2,0.0,66.7,0.0,15.1,0.0,15.8
Duke,2025,Tyrese Proctor,G,1137,123.1,100.6,7.4,0.587,20.1,12.9,9.1,2.0,9.0,1.6,0.4
Duke,2026,Caleb Foster,G,679,115.8,100.4,4.8,0.541,17.5,16.0,13.2,3.3,12.2,0.7,0.4
Duke,2026,Cameron Boozer,F,852,136.6,89.9,19.4,0.665,30.0,25.1,12.0,12.3,22.1,3.0,2.0
Duke,2026,Cameron Sheffield,G,31,98.4,98.6,-4.3,0.364,17.9,5.1,0.0,4.0,20.8,0.0,0.0
Duke,2026,Cayden Boozer,G,533,121.1,97.0,6.4,0.604,16.7,22.6,18.7,1.4,9.5,2.7,0.5
Duke,2026,Dame Sarr,G,548,100.8,93.4,4.9,0.497,16.4,7.7,16.2,3.6,14.5,2.9,2.0
Duke,2026,Darren Harris,G,239,133.7,100.5,4.6,0.558,16.3,8.0,2.6,3.7,4.5,2.2,0.0
Duke,2026,Ifeanyi Ufochukwu,C,22,75.8,101.7,-11.1,0.447,14.8,0.0,30.9,11.3,4.9,0.0,5.6
Duke,2026,Isaiah Evans,G,719,124.3,96.6,10.0,0.592,24.6,7.7,8.3,1.4,10.6,2.0,3.6
Duke,2026,Jack Scott,G,30,147.2,95.1,6.6,0.75,8.4,5.0,20.0,16.6,17.9,2.0,0.0
Duke,2026,Maliq Brown,F,503,124.0,87.2,11.0,0.639,12.8,15.8,22.7,10.7,15.4,5.2,2.7
Duke,2026,Nikolas Khamenia,G,479,119.7,98.0,5.7,0.602,15.4,9.7,16.4,5.7,11.9,1.8,0.0
Duke,2026,Patrick Ngongba,C,564,133.8,91.5,11.2,0.649,21.0,15.7,13.6,12.6,18.9,1.8,6.6
North Carolina,2024,Armando Bacot,F,1123,125.1,96.1,8.9,0.601,21.7,9.4,11.8,11.3,24.9,1.1,5.1
North Carolina,2024,Cormac Ryan,G,1091,113.5,104.4,4.5,0.545,18.6,6.9,9.9,2.0,8.0,1.3,1.4
North Carolina,2024,Creighton Lebo,G,22,0.0,94.2,-15.8,0.0,19.6,0.0,0.0,0.0,14.5,5.1,0.0
North Carolina,2024,Duwe Farris,F,14,86.6,108.6,-1.5,0.25,13.7,11.3,0.0,7.7,7.6,0.0,0.0
North Carolina,2024,Elliot Cadeau,G,882,102.5,103.9,1.8,0.475,19.2,28.8,19.0,2.6,7.2,1.8,0.5
North Carolina,2024,Harrison Ingram,F,1213,116.1,97.6,8.5,0.53,18.8,11.6,10.7,8.7,20.1,2.4,1.3
North Carolina,2024,Jae'lyn Withers,F,459,121.4,95.8,6.8,0.614,15.9,7.8,16.4,8.7,22.2,2.0,4.0
North Carolina,2024,Jalen Washington,F,308,139.5,97.2,8.9,0.737,17.3,4.3,12.6,11.6,21.4,0.5,6.9
North Carolina,2024,James Okonkwo,F,43,125.1,97.4,2.2,0.659,16.0,0.0,20.9,17.6,19.7,0.0,9.4
North Carolina,2024,Paxson Wojcik,G,267,102.4,106.7,0.2,0.463,11.7,7.6,15.4,4.9,8.0,0.6,0.0
North Carolina,2024,RJ Davis,G,1287,123.3,102.9,10.8,0.569,27.7,20.0,7.4,1.5,9.6,2.0,0.6
North Carolina,2024,Rob Landry,G,14,164.4,103.0,14.3,0.8,17.1,0.0,0.0,7.7,22.7,0.0,0.0
North Carolina,2024,Seth Trimble,G,599,115.0,104.0,4.4,0.554,14.8,8.9,11.9,3.3,9.9,1.2,1.2
North Carolina,2024,Zayden High,F,103,78.3,96.1,-2.9,0.387,15.0,4.5,27.9,9.5,17.5,2.7,3.0
North Carolina,2025,Cade Tyson,F,246,110.0,109.5,0.3,0.509,16.9,2.1,4.8,4.4,11.1,1.4,0.4
North Carolina,2025,Dante Mayo Jr.,,12,124.4,114.2,3.9,0.6,20.7,0.0,0.0,0.0,9.1,0.0,0.0
North Carolina,2025,Drake Powell,G,947,118.0,107.9,6.1,0.581,13.8,7.0,10.2,3.3,11.4,1.6,2.8
North Carolina,2025,Elliot Cadeau,G,1029,103.4,107.9,3.2,0.526,21.4,38.2,25.6,1.9,9.7,2.3,1.0
North Carolina,2025,Ian Jackson,G,857,111.5,109.9,4.8,0.572,24.4,7.0,10.5,2.1,10.5,1.3,0.9
North Carolina,2025,Jae'lyn Withers,F,646,119.3,104.1,6.7,0.627,17.1,6.9,14.4,5.6,22.9,1.4,2.1
North Carolina,2025,Jalen Washington,F,571,114.7,104.0,3.9,0.622,17.6,5.9,18.3,9.9,19.9,1.0,5.6
North Carolina,2025,James Brown,F,53,111.7,109.0,-1.4,0.641,19.1,0.0,19.6,18.1,14.4,1.1,0.0
North Carolina,2025,John Holbrook,F,10,126.3,105.1,2.4,0.5,9.9,0.0,0.0,12.0,32.8,0.0,0.0
North Carolina,2025,RJ Davis,G,1267,118.7,109.7,6.8,0.556,24.7,19.4,9.1,1.1,9.8,1.7,0.3
North Carolina,2025,Russell Hawkins,G,15,84.0,114.4,-5.4,0.333,16.6,51.8,40.0,0.0,7.3,0.0,0.0
North Carolina,2025,Seth Trimble,G,974,115.7,105.1,6.1,0.542,20.5,7.8,9.0,4.9,14.5,2.7,1.2
North Carolina,2025,Tyzhaun Claude,F,98,115.3,105.4,-1.2,0.487,14.0,1.6,10.8,18.3,17.9,1.7,1.1
North Carolina,2025,Ven-Allen Lubin,F,724,133.8,104.1,7.7,0.694,18.0,2.9,11.4,11.4,20.2,1.1,5.0
North Carolina,2026,Caleb Wilson,F,751,128.3,96.8,13.9,0.626,28.3,17.8,11.0,10.4,21.9,2.8,4.3
North Carolina,2026,Derek Dixon,G,527,104.4,109.2,2.0,0.487,17.1,21.2,17.1,1.5,10.7,0.8,0.0
North Carolina,2026,Elijah Davis,G,9,86.2,109.6,-15.7,0.375,22.1,0.0,0.0,0.0,11.6,0.0,0.0
North Carolina,2026,Evan Smith,G,9,177.7,99.0,22.1,0.714,27.1,68.9,0.0,25.6,34.7,0.0,0.0
North Carolina,2026,Henri Veesaar,F,745,131.5,100.4,10.7,0.673,22.0,12.8,11.2,8.7,22.4,1.2,3.9
North Carolina,2026,Isaiah Denis,G,33,123.9,103.9,4.3,0.635,24.1,6.1,6.3,3.5,15.8,1.8,0.0
North Carolina,2026,Ivan Matlekovic,F,7,200.0,116.0,2.7,1.0,7.1,0.0,0.0,0.0,0.0,0.0,0.0
North Carolina,2026,James Brown,F,50,116.1,101.9,-1.7,0.541,12.1,9.3,16.4,11.5,16.7,1.2,4.0
North Carolina,2026,Jarin Stevenson,F,627,128.7,106.5,5.8,0.606,14.8,6.4,9.7,6.8,10.5,1.4,2.1
North Carolina,2026,Jaydon Young,G,187,98.3,106.4,0.0,0.458,17.5,8.7,12.2,3.1,12.3,1.2,1.1
North Carolina,2026,John Holbrook,F,9,111.9,110.1,-5.6,0.256,10.8,0.0,0.0,25.6,11.6,0.0,0.0
North Carolina,2026,Jonathan Powell,F,425,117.3,106.3,4.1,0.529,15.1,8.6,6.2,3.8,11.5,1.6,0.5
